Genes	CTRL_1	CTRL_2	IFNG_1	IFNG_2	POMALYST_1	POMALYST_2	POMIFNG_1	POMIFNG_2
ABHD1	0.13149	0.125815	0.0348692	0.148934	0.144537	0	0.256703	0.118003
ABHD10	23.9135	24.723	22.2252	26.4264	23.882	25.6535	22.5506	29.564
ABHD11	6.92601	6.69341	6.60547	6.82042	5.99558	7.20296	6.19996	8.2861
ABHD12	38.5905	45.4995	51.487	52.4539	40.4241	48.759	48.2129	52.7529
ABHD12B	0	0	0.0340024	0	0	0.103597	0.107285	0.0383566
ABHD13	6.9783	5.74808	7.36033	6.53607	7.19351	4.13348	5.93552	5.49746
ABHD14A	13.4648	17.2799	15.4376	14.7874	15.3509	16.7647	18.1167	25.6373
ABHD14A-ACY1	0.000139202	1.39961e-05	0.0081735	0.000197956	0.000336096	0.000450341	4.24259e-05	3.7035e-06
ABHD14B	25.4193	31.0613	30.9895	30.0051	26.3149	30.377	30.0816	31.7281
ABHD15	5.32819	5.35561	5.90999	5.38224	6.75798	6.48594	7.8587	7.34114
ABHD16A	18.6524	19.6208	37.0801	41.3283	26.7093	26.5281	30.014	32.682
ABHD16B	0.0517351	0.0495023	0.0823166	0.146496	0.170606	0.24762	0.0577147	0.0309525
ABHD2	17.0012	13.0969	14.6821	13.7386	22.8926	17.7816	19.5905	15.1459
ABHD3	6.69606	5.19662	7.63494	7.68322	8.29557	7.53735	7.64033	8.19505
ABHD4	4.88092	8.03019	7.33777	7.59666	8.20229	7.63033	10.3809	9.89508
ABHD5	2.92298	2.42293	2.371	2.44324	3.2474	2.76813	3.04286	3.26378
ABHD6	13.0409	15.2569	16.8744	17.6414	7.76731	8.39319	8.00666	8.52158
ABHD8	8.02204	9.71312	12.6385	14.8596	12.9789	13.8349	18.6902	17.4481
ABI1	11.1149	10.3098	10.3311	10.7867	10.5337	9.98683	10.8626	11.663
ABI2	11.9102	9.98621	9.20171	8.23639	11.7681	9.72686	10.2921	9.63642
ABI3	0.149028	0.267357	0.182408	0.265255	0.42124	0.205766	0.356255	0.437226
ABI3BP	0.00943539	0.0270846	0.0400342	0	0	0.00903213	0	0.0225804
ABL1	22.3519	25.1308	26.9475	26.6242	21.6698	25.0777	23.1316	19.6136
ABL2	13.7965	9.55482	9.60681	8.26653	11.048	9.90506	9.16082	6.46238
ABLIM1	0.62749	0.490753	0.382692	0.332468	0.774226	0.594234	0.783476	0.544564
ABLIM2	0.0340983	0.14682	0.140131	0.154488	0.405604	0.2509	0.431022	0.27832
ABLIM3	2.18453	2.06226	2.82413	3.0598	2.04754	1.99781	2.48054	2.22887
ABO	0	0	0	0	0	0	0	0
ABP1	0	0.0173479	0	0	0	0.0347179	0.0202259	0
ABR	27.329	34.2469	32.492	32.4704	25.4822	33.4494	29.1987	29.4266
ABRA	0	0	0	0	0	0	0	0
ABRACL	53.8337	60.6954	49.8799	52.2334	38.1434	45.5104	31.9816	59.8373
ABT1	39.0038	41.6137	44.1077	49.6393	32.0151	39.3525	32.6889	41.7026
ABTB1	4.7393	5.45138	8.07706	7.99168	11.1901	8.54322	12.8284	12.1072
ABTB2	7.8137	9.54235	8.18837	8.48155	13.006	11.236	13.8877	11.9639
ACAA1	37.6848	41.133	43.4709	46.0778	43.7639	45.8365	48.7962	53.6701
ACAA2	26.7354	29.557	27.7121	28.6871	25.0279	28.7835	25.4002	35.4457
ACACA	10.0097	7.34327	6.67549	6.46201	7.30264	8.39916	6.86258	5.91255
ACACB	3.17929	2.72343	2.6659	2.31857	4.29525	3.46422	4.08669	2.98072
ACAD10	5.3936	5.01468	5.62271	5.31576	6.77386	5.6114	6.39235	5.76748
ACAD11	3.54883	2.28497	2.51259	2.55299	4.59074	2.94586	3.99791	3.27725
ACAD8	12.1783	11.8081	12.143	12.2307	19.0316	16.7096	21.262	19.7455
ACAD9	28.8942	36.4466	34.2266	34.9265	24.9388	30.9292	26.1606	26.8566
ACADL	0	0	0.0187802	0	0	0	0	0
ACADM	32.475	36.9297	40.242	38.7134	32.4546	31.4589	31.4124	32.3185
ACADS	9.22275	10.5262	14.8883	18.0461	9.85126	11.9606	10.6061	10.8655
ACADSB	4.46611	3.24024	3.45079	3.02564	5.09425	3.792	4.49737	3.95141
ACADVL	39.3373	52.7559	47.1709	64.1259	74.213	81.9831	82.3185	80.5072
ACAN	2.79317	2.3451	1.65566	1.37872	1.29936	2.11404	1.20494	1.1247
ACAP1	0	0.0168069	0	0.0596858	0.135156	0.0336285	0.0587855	0.0420357
ACAP2	11.4247	9.02133	7.76083	6.31984	11.5943	6.5784	8.28434	6.80763
ACAP3	13.0784	13.4474	11.7553	14.7621	16.7577	20.5003	16.4882	14.1564
ACAT1	63.4307	68.3125	68.0861	63.7783	48.916	59.1107	51.4953	64.6116
ACAT2	51.8132	52.7915	52.0713	49.2601	35.1309	44.0363	36.7339	50.5187
ACBD3	20.4879	19.6152	20.1919	17.3467	23.9194	16.2459	22.9898	19.2446
ACBD4	3.71627	3.29644	4.84345	6.19949	6.58774	4.54089	5.86343	4.97777
ACBD5	5.17798	5.07015	5.50941	5.24955	5.44304	4.12688	4.57074	4.74372
ACBD6	27.4922	35.9668	29.4682	32.1197	30.6325	35.4302	33.7593	39.3516
ACBD7	0.280435	0.524467	0.473247	0.303201	1.02287	0.488089	0.696797	0.762641
ACCS	4.51821	2.77781	4.33883	4.01119	6.86291	3.72507	5.90307	4.0781
ACCSL	0.226376	0.168472	0.133404	0.0854695	0.0276488	0.264857	0.0561202	0.0300974
ACD	10.5898	14.9705	12.2966	12.6598	9.91685	13.6848	12.1529	11.9683
ACE	0.0929356	0.222994	0.27781	0.258369	0.195057	0.15366	0.254585	0.293212
ACE2	0.0244291	0.0233748	0.0129565	0.02767	0	0	0.0136263	0.0146157
ACER1	0	0	0	0	0	0	0	0
ACER2	0.228942	0.131437	0.145709	0.121014	0.419434	0.175326	0.187296	0.182631
ACER3	8.67705	7.16915	7.37557	6.66485	9.28402	7.31057	8.57337	8.94232
ACHE	0.465533	0.348763	0.336033	0.366917	0.556025	0.290699	0.496492	0.532504
ACIN1	57.7273	61.0358	64.9249	64.3886	55.271	63.5169	59.2762	55.9413
ACLY	57.7164	56.6568	51.2484	46.0657	46.5565	52.9358	48.0237	43.9512
ACMSD	0	0	0.0415524	0	0	0	0	0
ACN9	6.34947	7.29053	6.15455	6.22465	6.49819	6.32961	5.12932	8.69798
ACO1	13.9577	11.9125	16.917	15.4679	18.3397	15.1627	18.303	17.7264
ACO2	91.8915	104.501	103.83	97.0426	104.654	109.17	113.5	125.688
ACOT1	2.24229	1.75543	1.51359	1.61622	1.2484	0.864159	1.85173	1.81195
ACOT11	1.87165	2.62143	1.66884	1.72055	2.4301	2.68749	2.76885	2.80759
ACOT12	0.0909595	0.108792	0	0	0.0499927	0.021768	0.0253682	0.0816301
ACOT13	4.48536	4.49953	4.84145	4.96267	4.67987	4.91626	5.6256	8.63412
ACOT2	5.8568	6.12436	6.41995	5.45166	2.6278	4.8119	3.70957	5.01783
ACOT4	0.598908	1.09154	1.30083	0.742969	0.56429	1.03742	0.859026	1.36503
ACOT6	0	0	0	0	0	0	0	0.0617207
ACOT7	105.837	149.249	175.632	170.486	93.3886	128.594	112.728	145.883
ACOT8	18.1272	20.96	23.5513	24.2345	21.4192	23.0418	24.9582	33.9836
ACOT9	20.875	19.1999	23.2986	21.5064	15.3799	19.4848	17.2697	20.6262
ACOX1	6.56993	5.47847	5.94857	5.02669	7.8975	6.94317	6.89461	6.88367
ACOX2	0.0769766	0.239377	0.449089	0.217972	0.253845	0.0921085	0.322026	0.345407
ACOX3	3.00403	3.33306	4.5216	4.12481	4.02598	3.83559	5.0341	4.87617
ACOXL	0	0.0178644	0.0396085	0.169176	0.0820912	0	0.0416561	0.111701
ACP1	87.6013	99.0415	99.0442	106.937	85.8143	91.6051	82.2096	98.6345
ACP2	20.1829	23.2625	28.8988	27.8882	30.0649	29.1151	33.344	35.1434
ACP5	141.261	177.442	222.105	228.938	108.3	151.804	138.123	167.877
ACP6	8.49019	9.86978	16.372	14.6114	12.6757	10.8445	12.6664	14.2228
ACPL2	3.47932	3.57567	4.37567	4.80735	4.85624	3.75269	4.11247	4.06456
ACPP	0.0250426	0.0239619	0.13282	0.0850952	0.0147192	0.0239724	0.0448147	0
ACPT	0	0	0.0379524	0	0	0	0	0
ACR	0.0350588	0.0335458	0	0	0	0	0.078222	0
ACRBP	0	0.0462194	0	0	0.0530973	0.0462396	0.0269435	0.0577995
ACRC	0.73313	0.441679	0.504042	0.445951	0.656643	0.597827	0.605827	0.438624
ACRV1	0.0543079	0	0	0	0	0.129163	0.100352	0.161459
ACSBG1	9.56136	8.07808	11.0873	9.75839	6.2549	5.65709	5.79594	5.29382
ACSBG2	0	0	0	0	0	0	0	0
ACSF2	10.9725	13.319	13.7091	15.4507	10.3101	12.6958	11.8409	12.4384
ACSF3	8.46929	11.594	10.2152	12.057	9.31856	10.468	9.79736	10.0855
ACSL1	20.8826	17.1422	19.2412	17.5147	21.6871	19.3685	20.186	19.7356
ACSL3	111.917	118.063	111.823	104.298	97.3846	95.6135	94.4962	88.7356
ACSL4	17.4287	16.8752	13.2405	12.8051	19.2396	13.4551	15.6198	14.6014
ACSL5	0.724048	0.641264	1.0057	1.08841	0.225355	0.410727	0.13462	0.208571
ACSL6	0.103281	0.109521	0.116402	0.0503635	0.0767751	0.031571	0.0504052	0.0394638
ACSM1	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0
ACSM3	0.105108	0.0603469	0.315781	0.201939	0.229262	0.0804923	0.199859	0.357282
ACSM4	0	0	0	0	0	0	0	0
ACSM5	0.0913914	0.174894	0.329606	0.186329	0.0803682	0.0699883	0.0407818	0.415556
ACSS1	19.7812	20.5146	24.1606	26.5836	19.9941	21.7549	21.107	17.4452
ACSS2	9.66674	10.2943	15.628	16.7536	14.1627	14.2288	16.371	16.6886
ACSS3	5.66842	4.78168	6.45197	5.66033	5.58741	4.75644	5.51124	4.23706
ACTA1	0.411797	0.121238	0.168004	0.574066	0.31338	0.151614	0.212028	0.341133
ACTA2	0.183202	0.150253	2.72063	2.54937	0.201382	0.0751596	0.116787	0.367452
ACTB	3256.22	4064.77	3741.81	3478.19	2813.38	3341.87	3244.84	3539.69
ACTBL2	0.0468231	0	0.0496674	0	0.205878	0.0896439	0.226352	0.0747034
ACTC1	0	0	0	0.0130925	0	0	0.012895	0
ACTG1	2482.02	2791.87	2706.65	2459.53	2224.81	2621.82	2469.81	2706.93
ACTG1P4	0	0	0	0	0	0	0	0.027303
ACTG2	3.84197	4.79291	4.292	4.48135	2.15458	3.33573	2.87501	2.43226
ACTL10	1.33484	1.85199	1.9587	2.0411	0.880379	1.98058	1.61322	1.96993
ACTL6A	53.4169	54.2915	49.3484	52.663	43.4282	50.8575	43.0454	48.9924
ACTL6B	0.245832	0.0588057	0.358552	0.139223	0.0675566	0	0.0685615	0
ACTL7A	0	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0	0	0
ACTL8	0.171651	0.28156	0.0780335	0.138874	0	0.0704208	0.0547117	0
ACTL9	0	0	0	0	0	0	0	0
ACTN1	96.0542	118.432	108.518	109.377	94.3476	115.329	98.9566	86.6829
ACTN1-AS1	0	0	0	0	0	0	0.120253	0
ACTN2	0.745178	0.249556	0.237133	0.22156	0.522191	0.294249	0.280566	0.278645
ACTN3	0.0147758	0.0282789	0.0627023	0.0669537	0.129957	0.0565852	0.0659438	0.0707316
ACTN4	212.054	254.32	320.864	296.024	258.052	253.69	279.627	249.533
ACTR10	17.6261	16.3979	20.3285	20.4769	18.9773	17.7216	18.553	24.8805
ACTR1A	33.9476	41.639	44.2814	39.9777	38.3482	41.8892	46.2834	49.9156
ACTR1B	8.81818	9.15491	10.0862	12.2002	9.12941	9.85764	9.22119	7.83702
ACTR2	95.2511	83.9617	85.3502	76.3386	99.1735	71.9275	84.7065	68.6192
ACTR3	148.088	133.721	200.78	190.872	125.104	116.448	127.775	126.673
ACTR3B	4.80764	5.66393	3.81779	3.51027	4.0013	3.96751	3.76688	4.03457
ACTR3BP2	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	0
ACTR3C	0.266142	0.145518	0.524288	0.18302	0.133211	0.0363953	0.0450663	0.0909885
ACTR5	11.1907	10.7077	9.53033	9.71302	10.4041	10.1163	10.3009	11.3468
ACTR6	10.9076	8.77253	13.6223	13.3244	14.2611	9.90633	13.6309	15.4724
ACTR8	8.94097	7.31523	7.80969	7.85887	9.15485	9.11139	8.92306	8.48556
ACTRT1	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0
ACTRT3	0	0	0.023931	0	0.0495986	0	0	0
ACVR1	11.8812	12.7495	10.0243	10.2738	8.68451	9.36633	8.89844	8.78095
ACVR1B	8.47993	8.72384	11.3915	10.7227	9.41955	10.2171	8.96811	8.79426
ACVR1C	0.127355	0.0749938	0.0467639	0.0554832	0.0712892	0.0515803	0.0710407	0.0513013
ACVR2A	1.63698	1.71151	1.55007	1.42906	2.10664	1.41414	1.79946	1.53836
ACVR2B	6.55574	4.61864	4.63979	4.26232	5.72472	4.23187	4.76739	3.06639
ACVR2B-AS1	0.94478	0.853784	1.54037	1.48628	1.19239	1.03839	1.5029	0.879281
ACVRL1	0.0410979	0.125836	0.0762955	0.0814652	0.0436456	0.0590135	0.0917024	0.0245866
ACY1	21.4159	20.2647	21.7451	20.702	16.7862	21.2022	18.952	22.5712
ACY3	0	0.14294	0.43577	0.253809	0	0.0357507	0	0
ACYP1	6.26329	4.89283	7.49949	8.42542	7.59069	6.70688	8.99855	10.9369
ACYP2	2.21516	2.19663	2.39244	2.55465	2.3907	2.50603	1.88709	3.75905
ADA	13.8789	13.3974	17.3276	14.5376	15.0536	15.4608	16.7504	19.6934
ADAD1	0	0	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0	0	0
ADAL	10.8711	9.6071	9.79507	8.39085	11.4831	10.011	11.2338	11.5082
ADAM10	47.0688	39.7743	40.349	39.0498	43.1936	38.1851	38.6782	27.7397
ADAM11	2.76361	3.6176	2.41237	3.36936	2.59483	3.62837	2.5906	2.53757
ADAM12	0.0683414	0.0261568	0.0579942	0.0944177	0.142736	0.130841	0.0701877	0.119973
ADAM15	44.2084	69.3257	61.0704	82.4861	48.6836	83.898	59.4551	63.4247
ADAM17	9.2992	7.04223	8.54802	6.60352	8.85816	7.54113	7.60582	6.37077
ADAM18	0	0	0	0	0	0	0	0
ADAM19	0.51246	0.514861	0.645512	0.594957	1.14775	0.686781	1.06477	0.958122
ADAM1A	1.93195	0.982969	1.15477	0.955189	1.3315	0.689847	0.87236	0.880657
ADAM2	0	0	0	0	0	0	0	0
ADAM20	0	0.0149458	0	0.0353842	0	0	0	0
ADAM20P1	0.0570516	0.0136474	0.0151293	0.0161551	0.0313564	0.0546133	0	0
ADAM21	0.0328808	0.0314618	0.0523173	0.0186215	0.0722873	0.0472133	0.0366813	0.0590167
ADAM21P1	0	0	0	0	0	0	0	0
ADAM22	0.424511	0.210126	0.200017	0.10665	0.742368	0.496642	0.823875	0.299738
ADAM23	5.98909	6.49108	4.10981	3.63294	4.94534	6.16786	4.5281	4.26249
ADAM28	0	0	0	0	0.0234143	0	0	0
ADAM29	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0
ADAM32	0.0320521	0.0306688	0.0169996	0.0181522	0	0	0	0
ADAM33	0.0851903	0.116448	0.0661076	0.0964922	0.0959108	0.155119	0.08146	0.0596571
ADAM3A	0	0	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0
ADAM8	0.124036	0.0498831	0.0829494	0.016197	0.257879	0.286957	0.160349	0.10917
ADAM9	21.4534	22.0827	20.7494	19.2106	24.9869	18.1037	20.9134	16.9114
ADAMDEC1	0	0	0	0	0	0	0	0
ADAMTS1	6.39334	5.4329	5.83073	5.32344	7.14721	6.18945	6.2938	5.2229
ADAMTS10	1.26882	0.955957	0.974982	1.15425	2.64669	1.50151	1.88359	1.30306
ADAMTS12	0.0593264	0.0486567	0.0179801	0.0191992	0.0279486	0.024339	0.0661835	0.0101413
ADAMTS13	0.197736	0.191805	0.276315	0.313492	0.567417	0.267505	0.518905	0.296445
ADAMTS14	0	0	0.033757	0	0	0	0	0
ADAMTS15	0.10293	0.0844183	0.155975	0.0999305	0.23437	0.133721	0.369087	0.263923
ADAMTS16	0.0253185	0.0323011	0.00895215	0.0286774	0.0278309	0.0484728	0.0188299	0.0100985
ADAMTS17	1.07636	1.00479	0.75188	0.505504	1.21203	1.13716	1.15684	0.903135
ADAMTS18	0.00704568	0	0	0.0159608	0	0	0	0.0168614
ADAMTS19	0	0	0	0	0	0	0	0
ADAMTS2	0.363538	0.445067	0.442558	0.662646	0.306016	0.588475	0.287976	0.386532
ADAMTS20	0	0.00696202	0.00771802	0	0.00799805	0.00696507	0	0
ADAMTS3	1.05972	0.719384	0.531667	0.527164	0.700502	0.774532	0.615067	0.531207
ADAMTS4	7.16348	7.6761	9.95896	9.37402	5.90038	6.43692	6.44542	5.3135
ADAMTS5	0.24624	0.211239	0.225171	0.0769401	0.238007	0.10973	0.246284	0.137163
ADAMTS6	0.0341383	0.032665	0.0663887	0.0580009	0.0625431	0.0653585	0.0761681	0.0612737
ADAMTS7	3.15898	3.16832	3.31858	3.92295	4.06653	3.94209	3.58355	3.45207
ADAMTS8	0	0.0111567	0.0247364	0.0132068	0	0.0223232	0.0260152	0
ADAMTS9	0.141359	0.0919759	0.0779721	0.0832588	0.285911	0.189445	0.189238	0.142084
ADAMTS9-AS2	0.0400466	0	0.0212396	0.0453595	0.0220102	0	0.0223376	0
ADAMTSL1	0	0	0.0390627	0.04767	0	0	0	0
ADAMTSL2	0.114498	0.15338	0.109308	0.129689	0.0629295	0.120566	0.076639	0.150707
ADAMTSL3	0.0225443	0.0161785	0.0179353	0.063838	0.0433675	0	0.0188625	0.0337201
ADAMTSL4	0.877081	0.823761	1.31532	1.32496	1.33064	1.00617	1.25961	0.784109
ADAMTSL5	2.08703	2.2156	1.9391	1.94979	3.04767	2.40615	2.8041	2.35147
ADAP1	1.49173	2.23252	2.17065	2.68608	2.01816	2.7278	2.26153	2.99783
ADAP2	0.0158862	0.0912038	0.0168512	0.0539814	0.0698506	0.0152073	0.0708896	0.0760365
ADAR	56.4954	46.5191	91.7693	80.0457	55.8316	51.3253	56.2241	43.5405
ADARB1	8.07632	6.45481	6.14237	6.74714	7.58699	6.53594	7.158	5.06741
ADARB2	0	0.00935042	0.00518288	0	0	0	0	0
ADARB2-AS1	0	0	0	0	0	0.184084	0.107265	0
ADAT1	3.97256	3.20566	3.95068	3.72971	4.46867	3.97371	3.49755	2.79716
ADAT2	1.23655	0.769707	0.726353	0.65512	1.25695	0.680948	1.06056	0.843231
ADAT3	4.41083	6.79661	7.04854	8.01307	2.7391	5.37386	4.12184	4.35256
ADC	7.00913	8.7853	14.1089	14.2763	7.1865	7.41584	7.43058	7.82294
ADCK1	4.69141	5.42411	5.13769	5.61017	4.405	5.09783	4.83238	5.55758
ADCK2	22.311	28.9725	25.9534	31.6206	28.0904	37.6359	33.0051	34.0778
ADCK3	11.8545	13.0486	13.5043	12.5523	12.0184	13.6658	14.4842	12.2473
ADCK4	8.70285	13.2908	20.5352	23.2768	12.8718	13.9145	13.4411	14.3249
ADCK5	8.98868	9.88313	11.324	14.1594	12.446	15.0634	13.9716	11.9999
ADCY1	15.8204	13.0385	9.99753	10.9342	12.7718	14.338	10.1684	7.80498
ADCY10	0.00771313	0	0	0.00957429	0	0	0.00942987	0.0101145
ADCY10P1	0.591515	0.132603	0.254468	0.366731	0.436339	0.424531	0.339864	0.28744
ADCY2	0	0.0363572	0.0537402	0.0645569	0.0208837	0.0666839	0.0282592	0.0530441
ADCY3	17.5569	19.7967	14.9232	17.1649	14.1019	22.4547	14.569	12.5796
ADCY4	0	0	0.0133212	0.0142244	0.0276105	0.0120216	0.0280212	0.015027
ADCY5	0.155568	0.117442	0.195431	0.216468	0.0825438	0.156769	0.118769	0.0881714
ADCY6	8.68915	8.03866	9.02184	8.83555	8.43963	6.94795	8.52132	5.96582
ADCY7	4.14782	3.93638	3.73118	3.81528	4.30611	4.10679	3.76529	2.66001
ADCY8	4.0125	3.9185	1.95261	2.06157	2.66004	4.1182	2.29582	2.63575
